year,st,stateno,state,exp_public_welfare,gini_coef,welfare_spending_percap,x_chip_pregnantwomen,z_ssi_afdc_families_payments,z_tanf_initialelig
1900,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1901,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1902,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1903,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1904,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1905,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1906,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1907,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1908,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1909,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1910,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1911,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1912,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1913,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1914,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1915,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1916,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1917,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1918,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1919,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1920,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1921,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1922,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1923,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1924,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1925,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1926,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1927,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1928,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1929,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1930,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1931,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1932,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1933,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1934,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1935,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1936,AK,2,Alaska,NA,NA,NA,NA,0,NA
1937,AK,2,Alaska,NA,NA,NA,NA,0,NA
1938,AK,2,Alaska,NA,NA,NA,NA,0,NA
1939,AK,2,Alaska,NA,NA,NA,NA,0,NA
1940,AK,2,Alaska,NA,NA,NA,NA,821.531,NA
1941,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1942,AK,2,Alaska,NA,NA,NA,NA,665.519,NA
1943,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1944,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1945,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1946,AK,2,Alaska,NA,NA,NA,NA,519.234,NA
1947,AK,2,Alaska,NA,NA,NA,NA,316.814,NA
1948,AK,2,Alaska,NA,NA,NA,NA,293.732,NA
1949,AK,2,Alaska,NA,NA,NA,NA,627.105,NA
1950,AK,2,Alaska,NA,NA,NA,NA,504.508,NA
1951,AK,2,Alaska,NA,NA,NA,NA,577.756,NA
1952,AK,2,Alaska,NA,NA,NA,NA,605.135,NA
1953,AK,2,Alaska,NA,NA,NA,NA,560.604,NA
1954,AK,2,Alaska,NA,NA,NA,NA,609.986,NA
1955,AK,2,Alaska,NA,NA,NA,NA,717.353,NA
1956,AK,2,Alaska,NA,NA,NA,NA,673.658,NA
1957,AK,2,Alaska,NA,NA,NA,NA,630.184,NA
1958,AK,2,Alaska,NA,NA,NA,NA,734.103,NA
1959,AK,2,Alaska,NA,0.44389707,NA,NA,796.52,NA
1960,AK,2,Alaska,NA,0.43875948,NA,NA,792.934,NA
1961,AK,2,Alaska,NA,0.43943149,NA,NA,840.331,NA
1962,AK,2,Alaska,NA,0.45134881,NA,NA,821.077,NA
1963,AK,2,Alaska,NA,0.41465557,NA,NA,823.153,NA
1964,AK,2,Alaska,NA,0.46589541,NA,NA,812.472,NA
1965,AK,2,Alaska,NA,0.42827147,NA,NA,820.329,NA
1966,AK,2,Alaska,NA,0.43791518,NA,NA,795.363,NA
1967,AK,2,Alaska,NA,0.45720464,NA,NA,764.001,NA
1968,AK,2,Alaska,NA,0.47632256,NA,NA,954.22,NA
1969,AK,2,Alaska,NA,0.4604508,NA,NA,798.497,NA
1970,AK,2,Alaska,NA,0.45838544,NA,NA,1078.16,NA
1971,AK,2,Alaska,NA,0.46719867,NA,NA,987.296,NA
1972,AK,2,Alaska,NA,0.46164927,NA,NA,937.885,NA
1973,AK,2,Alaska,NA,0.45824462,NA,NA,853.06,NA
1974,AK,2,Alaska,NA,0.47139853,NA,NA,978.864,NA
1975,AK,2,Alaska,NA,0.47044101,119.4300003,NA,936.26,NA
1976,AK,2,Alaska,NA,0.46386895,121.4199982,NA,910.306,NA
1977,AK,2,Alaska,NA,0.49132249,139.9100037,NA,869.834,NA
1978,AK,2,Alaska,NA,0.49437007,179.75,NA,905.869,NA
1979,AK,2,Alaska,NA,0.48813379,252.6300049,NA,829.142,NA
1980,AK,2,Alaska,NA,0.50873017,286.9400024,NA,853.587,NA
1981,AK,2,Alaska,NA,0.47148901,374.730011,NA,955.724,NA
1982,AK,2,Alaska,NA,0.49747211,388.8099976,NA,1041.95,NA
1983,AK,2,Alaska,NA,0.505189,354.5400085,NA,1155.21,NA
1984,AK,2,Alaska,NA,0.50255704,427.3399963,NA,NA,NA
1985,AK,2,Alaska,NA,0.50468951,376.230011,NA,1113,NA
1986,AK,2,Alaska,NA,0.57390326,476.7399902,NA,1117.77,NA
1987,AK,2,Alaska,NA,0.64467525,520.1500244,NA,NA,NA
1988,AK,2,Alaska,NA,0.69510776,566.3400269,NA,NA,NA
1989,AK,2,Alaska,NA,0.6674968,650.9799805,NA,NA,NA
1990,AK,2,Alaska,NA,0.67073411,669.25,NA,NA,NA
1991,AK,2,Alaska,NA,0.66460383,764.4299927,NA,NA,NA
1992,AK,2,Alaska,NA,0.68781942,864.8300171,NA,NA,NA
1993,AK,2,Alaska,NA,0.6669994,944.5200195,NA,NA,NA
1994,AK,2,Alaska,NA,0.66679198,1053.920044,NA,NA,NA
1995,AK,2,Alaska,NA,0.67123258,1069.339966,NA,NA,NA
1996,AK,2,Alaska,NA,0.66764355,1178.069946,NA,NA,1527.05
1997,AK,2,Alaska,NA,0.60664004,1219.079956,NA,NA,1539.19
1998,AK,2,Alaska,NA,0.5890373,1234.030029,NA,NA,1528.84
1999,AK,2,Alaska,NA,0.5819838,1274.209961,200,NA,1502.06
2000,AK,2,Alaska,NA,0.57478046,1459.099976,200,NA,1475
2001,AK,2,Alaska,NA,0.56509936,1615.48999,200,NA,1468.67
2002,AK,2,Alaska,NA,0.57166678,1789.319946,200,NA,1461.87
2003,AK,2,Alaska,NA,0.58108729,2016.579956,175,NA,1432.64
2004,AK,2,Alaska,NA,0.59042096,2222.969971,NA,NA,1386.11
2005,AK,2,Alaska,NA,0.58914733,2133.300049,164,NA,1342.54
2006,AK,2,Alaska,NA,0.57496226,2217.850098,NA,NA,1333.44
2007,AK,2,Alaska,NA,0.56249607,NA,154,NA,1319.49
2008,AK,2,Alaska,NA,0.56250513,NA,175,NA,1297.6
2009,AK,2,Alaska,NA,0.56697708,NA,175,NA,1373.52
2010,AK,2,Alaska,NA,0.5642215,NA,175,NA,1351.89
2011,AK,2,Alaska,NA,0.56681156,NA,175,NA,1309.97
2012,AK,2,Alaska,2018001,0.57301652,NA,175,NA,1325.96
2013,AK,2,Alaska,2084000,0.55941278,NA,NA,NA,1320.2
2014,AK,2,Alaska,2106052,NA,NA,NA,NA,NA
2015,AK,2,Alaska,2113211,NA,NA,NA,NA,NA
2016,AK,2,Alaska,2372655,NA,NA,NA,NA,NA
2017,AK,2,Alaska,NA,NA,NA,NA,NA,NA
2018,AK,2,Alaska,NA,NA,NA,NA,NA,NA
2019,AK,2,Alaska,NA,NA,NA,NA,NA,NA
2020,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1900,AL,1,Alabama,NA,NA,NA,NA,NA,NA
1901,AL,1,Alabama,NA,NA,NA,NA,NA,NA
1902,AL,1,Alabama,NA,NA,NA,NA,NA,NA
1903,AL,1,Alabama,NA,NA,NA,NA,NA,NA
1904,AL,1,Alabama,NA,NA,NA,NA,NA,NA
1905,AL,1,Alabama,NA,NA,NA,NA,NA,NA
1906,AL,1,Alabama,NA,NA,NA,NA,NA,NA
1907,AL,1,Alabama,NA,NA,NA,NA,NA,NA
1908,AL,1,Alabama,NA,NA,NA,NA,NA,NA
1909,AL,1,Alabama,NA,NA,NA,NA,NA,NA
1910,AL,1,Alabama,NA,NA,NA,NA,NA,NA
1911,AL,1,Alabama,NA,NA,NA,NA,NA,NA
1912,AL,1,Alabama,NA,NA,NA,NA,NA,NA
1913,AL,1,Alabama,NA,NA,NA,NA,NA,NA
1914,AL,1,Alabama,NA,NA,NA,NA,NA,NA
1915,AL,1,Alabama,NA,NA,NA,NA,NA,NA
1916,AL,1,Alabama,NA,NA,NA,NA,NA,NA
1917,AL,1,Alabama,NA,0.39979187,NA,NA,NA,NA
1918,AL,1,Alabama,NA,0.34633201,NA,NA,NA,NA
1919,AL,1,Alabama,NA,0.38915655,NA,NA,NA,NA
1920,AL,1,Alabama,NA,0.34449083,NA,NA,NA,NA
1921,AL,1,Alabama,NA,0.34396824,NA,NA,NA,NA
1922,AL,1,Alabama,NA,0.37448102,NA,NA,NA,NA
1923,AL,1,Alabama,NA,0.38272232,NA,NA,NA,NA
1924,AL,1,Alabama,NA,0.39310178,NA,NA,NA,NA
1925,AL,1,Alabama,NA,0.43169317,NA,NA,NA,NA
1926,AL,1,Alabama,NA,0.44894397,NA,NA,NA,NA
1927,AL,1,Alabama,NA,0.45479259,NA,NA,NA,NA
1928,AL,1,Alabama,NA,0.50795484,NA,NA,NA,NA
1929,AL,1,Alabama,NA,0.46365586,NA,NA,NA,NA
1930,AL,1,Alabama,NA,0.43412733,NA,NA,NA,NA
1931,AL,1,Alabama,NA,0.41772425,NA,NA,NA,NA
1932,AL,1,Alabama,NA,0.38616806,NA,NA,NA,NA
1933,AL,1,Alabama,NA,0.39855254,NA,NA,NA,NA
1934,AL,1,Alabama,NA,0.38976052,NA,NA,NA,NA
1935,AL,1,Alabama,NA,0.38587552,NA,NA,NA,NA
1936,AL,1,Alabama,NA,0.42781773,NA,NA,294.414,NA
1937,AL,1,Alabama,NA,0.41887084,NA,NA,347.963,NA
1938,AL,1,Alabama,NA,0.43235412,NA,NA,331.975,NA
1939,AL,1,Alabama,NA,0.4090434,NA,NA,360.002,NA
1940,AL,1,Alabama,NA,0.39059657,NA,NA,359.512,NA
1941,AL,1,Alabama,NA,0.42970347,NA,NA,347.219,NA
1942,AL,1,Alabama,NA,0.44177875,NA,NA,365.477,NA
1943,AL,1,Alabama,NA,0.3888478,NA,NA,456.857,NA
1944,AL,1,Alabama,NA,0.41786271,NA,NA,522.096,NA
1945,AL,1,Alabama,NA,0.44687766,NA,NA,531.217,NA
1946,AL,1,Alabama,NA,0.45089942,NA,NA,603.97,NA
1947,AL,1,Alabama,NA,0.42142916,NA,NA,516.971,NA
1948,AL,1,Alabama,NA,0.41707563,NA,NA,553.96,NA
1949,AL,1,Alabama,NA,0.41875035,NA,NA,516.668,NA
1950,AL,1,Alabama,NA,0.42528102,NA,NA,456.948,NA
1951,AL,1,Alabama,NA,0.41092166,NA,NA,493.08,NA
1952,AL,1,Alabama,NA,0.42167059,NA,NA,497.766,NA
1953,AL,1,Alabama,NA,0.41037267,NA,NA,557.203,NA
1954,AL,1,Alabama,NA,0.40982828,NA,NA,586.48,NA
1955,AL,1,Alabama,NA,0.43188679,NA,NA,618.863,NA
1956,AL,1,Alabama,NA,0.43694463,NA,NA,384.022,NA
1957,AL,1,Alabama,NA,0.42709166,NA,NA,552.08,NA
1958,AL,1,Alabama,NA,0.4350245,NA,NA,356.462,NA
1959,AL,1,Alabama,NA,0.44193876,NA,NA,452.571,NA
1960,AL,1,Alabama,NA,0.44267604,NA,NA,486.821,NA
1961,AL,1,Alabama,NA,0.44652376,NA,NA,506.926,NA
1962,AL,1,Alabama,NA,0.44390371,NA,NA,535.457,NA
1963,AL,1,Alabama,NA,0.45212802,NA,NA,535.45,NA
1964,AL,1,Alabama,NA,0.45602435,NA,NA,513.289,NA
1965,AL,1,Alabama,NA,0.45811579,NA,NA,491.482,NA
1966,AL,1,Alabama,NA,0.46147725,NA,NA,497.671,NA
1967,AL,1,Alabama,NA,0.45958859,NA,NA,482.36,NA
1968,AL,1,Alabama,NA,0.46692991,NA,NA,533.296,NA
1969,AL,1,Alabama,NA,0.45696798,NA,NA,477.359,NA
1970,AL,1,Alabama,NA,0.45606378,NA,NA,412.895,NA
1971,AL,1,Alabama,NA,0.45195937,NA,NA,377.186,NA
1972,AL,1,Alabama,NA,0.46919218,NA,NA,425.283,NA
1973,AL,1,Alabama,NA,0.4555383,NA,NA,407.97,NA
1974,AL,1,Alabama,NA,0.4675183,NA,NA,480.949,NA
1975,AL,1,Alabama,NA,0.47196743,79.29000092,NA,421.605,NA
1976,AL,1,Alabama,NA,0.46421117,85.68000031,NA,450.18,NA
1977,AL,1,Alabama,NA,0.47894379,97.09999847,NA,431.509,NA
1978,AL,1,Alabama,NA,0.45934188,97.66999817,NA,397.381,NA
1979,AL,1,Alabama,NA,0.48302129,112.2200012,NA,353.98,NA
1980,AL,1,Alabama,NA,0.48160598,139.7100067,NA,313.511,NA
1981,AL,1,Alabama,NA,0.48185831,133.5700073,NA,276.323,NA
1982,AL,1,Alabama,NA,0.48532206,136.4400024,NA,270.96,NA
1983,AL,1,Alabama,NA,0.48762974,140.4900055,NA,262.534,NA
1984,AL,1,Alabama,NA,0.4884918,147.6199951,NA,254.208,NA
1985,AL,1,Alabama,NA,0.49555582,166.0800018,NA,248.702,NA
1986,AL,1,Alabama,NA,0.50339341,162.25,NA,244.61,NA
1987,AL,1,Alabama,NA,0.51553631,158.3600006,NA,237.908,NA
1988,AL,1,Alabama,NA,0.5339092,170.4299927,NA,226.709,NA
1989,AL,1,Alabama,NA,0.56049889,192.2400055,NA,216.432,NA
1990,AL,1,Alabama,NA,0.55987823,259.7000122,NA,217.342,NA
1991,AL,1,Alabama,NA,0.55754292,331.7000122,NA,252.414,NA
1992,AL,1,Alabama,NA,0.55798346,447.7999878,NA,268.845,NA
1993,AL,1,Alabama,NA,0.55122143,481.019989,NA,NA,NA
1994,AL,1,Alabama,NA,0.55201852,512.1199951,NA,NA,NA
1995,AL,1,Alabama,NA,0.5565207,537.4799805,NA,NA,NA
1996,AL,1,Alabama,NA,0.57655668,542.0599976,NA,NA,556.529
1997,AL,1,Alabama,NA,0.55794519,587.4099731,NA,NA,303.835
1998,AL,1,Alabama,NA,0.56370741,695.7299805,133,NA,298.636
1999,AL,1,Alabama,NA,0.56355053,731.1300049,133,NA,292.066
2000,AL,1,Alabama,NA,0.56273234,783.5800171,133,NA,281.177
2001,AL,1,Alabama,NA,0.55696815,845.9299927,200,NA,273.845
2002,AL,1,Alabama,NA,0.56069046,919.0599976,133,NA,268.767
2003,AL,1,Alabama,NA,0.58149034,1009.090027,133,NA,343.946
2004,AL,1,Alabama,NA,0.60633987,1012.47998,133,NA,332.731
2005,AL,1,Alabama,NA,0.62909275,966.7700195,133,NA,320.242
2006,AL,1,Alabama,NA,0.64943564,981.75,133,NA,308.199
2007,AL,1,Alabama,NA,0.64946151,NA,133,NA,297.626
2008,AL,1,Alabama,NA,0.64498818,NA,133,NA,286.73
2009,AL,1,Alabama,NA,0.61530936,NA,133,NA,287.882
2010,AL,1,Alabama,NA,0.59136045,NA,133,NA,283.348
2011,AL,1,Alabama,NA,0.58854091,NA,133,NA,274.562
2012,AL,1,Alabama,6383487,0.59282213,NA,133,NA,268.915
2013,AL,1,Alabama,6386764,0.57956797,NA,NA,NA,263.642
2014,AL,1,Alabama,6630759,NA,NA,NA,NA,NA
2015,AL,1,Alabama,6872757,NA,NA,NA,NA,NA
2016,AL,1,Alabama,7203252,NA,NA,NA,NA,NA
2017,AL,1,Alabama,NA,NA,NA,NA,NA,NA
2018,AL,1,Alabama,NA,NA,NA,NA,NA,NA
2019,AL,1,Alabama,NA,NA,NA,NA,NA,NA
2020,AL,1,Alabama,NA,NA,NA,NA,NA,NA
1900,AR,4,Arkansas,NA,NA,NA,NA,NA,NA
1901,AR,4,Arkansas,NA,NA,NA,NA,NA,NA
1902,AR,4,Arkansas,NA,NA,NA,NA,NA,NA
1903,AR,4,Arkansas,NA,NA,NA,NA,NA,NA
1904,AR,4,Arkansas,NA,NA,NA,NA,NA,NA
1905,AR,4,Arkansas,NA,NA,NA,NA,NA,NA
1906,AR,4,Arkansas,NA,NA,NA,NA,NA,NA
1907,AR,4,Arkansas,NA,NA,NA,NA,NA,NA
1908,AR,4,Arkansas,NA,NA,NA,NA,NA,NA
1909,AR,4,Arkansas,NA,NA,NA,NA,NA,NA
1910,AR,4,Arkansas,NA,NA,NA,NA,NA,NA
1911,AR,4,Arkansas,NA,NA,NA,NA,NA,NA
1912,AR,4,Arkansas,NA,NA,NA,NA,NA,NA
1913,AR,4,Arkansas,NA,NA,NA,NA,NA,NA
1914,AR,4,Arkansas,NA,NA,NA,NA,NA,NA
1915,AR,4,Arkansas,NA,NA,NA,NA,NA,NA
1916,AR,4,Arkansas,NA,NA,NA,NA,NA,NA
1917,AR,4,Arkansas,NA,0.37648278,NA,NA,NA,NA
1918,AR,4,Arkansas,NA,0.37716401,NA,NA,NA,NA
1919,AR,4,Arkansas,NA,0.36766368,NA,NA,NA,NA
1920,AR,4,Arkansas,NA,0.32294598,NA,NA,NA,NA
1921,AR,4,Arkansas,NA,0.35387838,NA,NA,NA,NA
1922,AR,4,Arkansas,NA,0.39271903,NA,NA,NA,NA
1923,AR,4,Arkansas,NA,0.37909165,NA,NA,NA,NA
1924,AR,4,Arkansas,NA,0.38258824,NA,NA,NA,NA
1925,AR,4,Arkansas,NA,0.43857762,NA,NA,NA,NA
1926,AR,4,Arkansas,NA,0.42845437,NA,NA,NA,NA
1927,AR,4,Arkansas,NA,0.44153643,NA,NA,NA,NA
1928,AR,4,Arkansas,NA,0.41546142,NA,NA,NA,NA
1929,AR,4,Arkansas,NA,0.41227639,NA,NA,NA,NA
1930,AR,4,Arkansas,NA,0.38853729,NA,NA,NA,NA
1931,AR,4,Arkansas,NA,0.38352957,NA,NA,NA,NA
1932,AR,4,Arkansas,NA,0.35168451,NA,NA,NA,NA
1933,AR,4,Arkansas,NA,0.35902944,NA,NA,NA,NA
1934,AR,4,Arkansas,NA,0.38881654,NA,NA,NA,NA
1935,AR,4,Arkansas,NA,0.3865042,NA,NA,NA,NA
1936,AR,4,Arkansas,NA,0.43213552,NA,NA,269.188,NA
1937,AR,4,Arkansas,NA,0.41224086,NA,NA,266.474,NA
1938,AR,4,Arkansas,NA,0.43791863,NA,NA,141.798,NA
1939,AR,4,Arkansas,NA,0.4294596,NA,NA,214.878,NA
1940,AR,4,Arkansas,NA,0.40251395,NA,NA,370.978,NA
1941,AR,4,Arkansas,NA,0.42925471,NA,NA,343.135,NA
1942,AR,4,Arkansas,NA,0.44049922,NA,NA,436.768,NA
1943,AR,4,Arkansas,NA,0.41604993,NA,NA,510.133,NA
1944,AR,4,Arkansas,NA,0.44331002,NA,NA,589.556,NA
1945,AR,4,Arkansas,NA,0.47057009,NA,NA,532.554,NA
1946,AR,4,Arkansas,NA,0.47522217,NA,NA,545.157,NA
1947,AR,4,Arkansas,NA,0.4501639,NA,NA,589.91,NA
1948,AR,4,Arkansas,NA,0.44009721,NA,NA,578.343,NA
1949,AR,4,Arkansas,NA,0.41820452,NA,NA,642.191,NA
1950,AR,4,Arkansas,NA,0.43318379,NA,NA,645.299,NA
1951,AR,4,Arkansas,NA,0.4355647,NA,NA,509.52,NA
1952,AR,4,Arkansas,NA,0.43871227,NA,NA,615.569,NA
1953,AR,4,Arkansas,NA,0.42811751,NA,NA,766.929,NA
1954,AR,4,Arkansas,NA,0.44849595,NA,NA,735.684,NA
1955,AR,4,Arkansas,NA,0.4358286,NA,NA,763.685,NA
1956,AR,4,Arkansas,NA,0.47698081,NA,NA,759.041,NA
1957,AR,4,Arkansas,NA,0.46729416,NA,NA,761.221,NA
1958,AR,4,Arkansas,NA,0.47026953,NA,NA,756.22,NA
1959,AR,4,Arkansas,NA,0.47313836,NA,NA,742.165,NA
1960,AR,4,Arkansas,NA,0.47180328,NA,NA,756.845,NA
1961,AR,4,Arkansas,NA,0.47432572,NA,NA,697.744,NA
1962,AR,4,Arkansas,NA,0.4741337,NA,NA,715.849,NA
1963,AR,4,Arkansas,NA,0.47624069,NA,NA,735.292,NA
1964,AR,4,Arkansas,NA,0.48326126,NA,NA,721.302,NA
1965,AR,4,Arkansas,NA,0.48960289,NA,NA,695.08,NA
1966,AR,4,Arkansas,NA,0.47575501,NA,NA,742.409,NA
1967,AR,4,Arkansas,NA,0.47287691,NA,NA,715.645,NA
1968,AR,4,Arkansas,NA,0.46737808,NA,NA,631.502,NA
1969,AR,4,Arkansas,NA,0.4968355,NA,NA,652.07,NA
1970,AR,4,Arkansas,NA,0.45847267,NA,NA,631.671,NA
1971,AR,4,Arkansas,NA,0.46849692,NA,NA,612.78,NA
1972,AR,4,Arkansas,NA,0.47885931,NA,NA,544.337,NA
1973,AR,4,Arkansas,NA,0.48094243,NA,NA,602.063,NA
1974,AR,4,Arkansas,NA,0.48478976,NA,NA,614.712,NA
1975,AR,4,Arkansas,NA,0.49678868,78.40000153,NA,544.427,NA
1976,AR,4,Arkansas,NA,0.48048127,99.90000153,NA,517.332,NA
1977,AR,4,Arkansas,NA,0.4793174,107.0699997,NA,535.052,NA
1978,AR,4,Arkansas,NA,0.48196507,121.7600021,NA,502.148,NA
1979,AR,4,Arkansas,NA,0.49439478,135.5,NA,475.73,NA
1980,AR,4,Arkansas,NA,0.49091798,139.5800018,NA,412.574,NA
1981,AR,4,Arkansas,NA,0.50475121,156.8399963,NA,285.805,NA
1982,AR,4,Arkansas,NA,0.51509064,156.3300018,NA,320.64,NA
1983,AR,4,Arkansas,NA,0.51647878,169.9799957,NA,307.686,NA
1984,AR,4,Arkansas,NA,0.51278675,192.2700043,NA,338.392,NA
1985,AR,4,Arkansas,NA,0.5135383,198.3300018,NA,387.491,NA
1986,AR,4,Arkansas,NA,0.51882368,215.5099945,NA,383.325,NA
1987,AR,4,Arkansas,NA,0.52938098,230.6000061,NA,393.652,NA
1988,AR,4,Arkansas,NA,0.54756761,237.8899994,NA,386.68,NA
1989,AR,4,Arkansas,NA,0.57657987,267.1000061,NA,366.052,NA
1990,AR,4,Arkansas,NA,0.56679815,335.1099854,NA,347.796,NA
1991,AR,4,Arkansas,NA,0.56412637,402.1900024,NA,336.397,NA
1992,AR,4,Arkansas,NA,0.56530231,491.4899902,NA,322.832,NA
1993,AR,4,Arkansas,NA,0.55129468,541.0499878,NA,NA,NA
1994,AR,4,Arkansas,NA,0.55214709,565.9899902,NA,NA,NA
1995,AR,4,Arkansas,NA,0.55195004,612.3800049,NA,NA,NA
1996,AR,4,Arkansas,NA,0.57227582,632.0700073,NA,NA,654.868
1997,AR,4,Arkansas,NA,0.5534206,660.4299927,NA,NA,418.571
1998,AR,4,Arkansas,NA,0.56129438,707.9099731,133,NA,411.758
1999,AR,4,Arkansas,NA,0.56179285,742.75,133,NA,402.848
2000,AR,4,Arkansas,NA,0.5579235,743.3099976,133,NA,388.463
2001,AR,4,Arkansas,NA,0.55758613,823.1799927,133,NA,378.19
2002,AR,4,Arkansas,NA,0.56471217,952.960022,200,NA,371.775
2003,AR,4,Arkansas,NA,0.59268767,993.8800049,200,NA,362.595
2004,AR,4,Arkansas,NA,0.61965591,1090.75,200,NA,351.299
2005,AR,4,Arkansas,NA,0.64308131,1144.47998,200,NA,338.4
2006,AR,4,Arkansas,NA,0.66687471,1183.280029,200,NA,326.032
2007,AR,4,Arkansas,NA,0.66840589,NA,200,NA,315.081
2008,AR,4,Arkansas,NA,0.66741055,NA,200,NA,303.547
2009,AR,4,Arkansas,NA,0.62602568,NA,200,NA,304.766
2010,AR,4,Arkansas,NA,0.58873832,NA,200,NA,299.966
2011,AR,4,Arkansas,NA,0.61083961,NA,200,NA,290.665
2012,AR,4,Arkansas,5170079,0.61152905,NA,200,NA,284.687
2013,AR,4,Arkansas,5139552,0.59769857,NA,NA,NA,279.104
2014,AR,4,Arkansas,5713188,NA,NA,NA,NA,NA
2015,AR,4,Arkansas,6642465,NA,NA,NA,NA,NA
2016,AR,4,Arkansas,6979738,NA,NA,NA,NA,NA
2017,AR,4,Arkansas,NA,NA,NA,NA,NA,NA
2018,AR,4,Arkansas,NA,NA,NA,NA,NA,NA
2019,AR,4,Arkansas,NA,NA,NA,NA,NA,NA
2020,AR,4,Arkansas,NA,NA,NA,NA,NA,NA
1900,AZ,3,Arizona,NA,NA,NA,NA,NA,NA
1901,AZ,3,Arizona,NA,NA,NA,NA,NA,NA
1902,AZ,3,Arizona,NA,NA,NA,NA,NA,NA
1903,AZ,3,Arizona,NA,NA,NA,NA,NA,NA
1904,AZ,3,Arizona,NA,NA,NA,NA,NA,NA
1905,AZ,3,Arizona,NA,NA,NA,NA,NA,NA
1906,AZ,3,Arizona,NA,NA,NA,NA,NA,NA
1907,AZ,3,Arizona,NA,NA,NA,NA,NA,NA
1908,AZ,3,Arizona,NA,NA,NA,NA,NA,NA
1909,AZ,3,Arizona,NA,NA,NA,NA,NA,NA
1910,AZ,3,Arizona,NA,NA,NA,NA,NA,NA
1911,AZ,3,Arizona,NA,NA,NA,NA,NA,NA
1912,AZ,3,Arizona,NA,NA,NA,NA,NA,NA
1913,AZ,3,Arizona,NA,NA,NA,NA,NA,NA
1914,AZ,3,Arizona,NA,NA,NA,NA,NA,NA
1915,AZ,3,Arizona,NA,NA,NA,NA,NA,NA
1916,AZ,3,Arizona,NA,NA,NA,NA,NA,NA
1917,AZ,3,Arizona,NA,0.39965793,NA,NA,NA,NA
1918,AZ,3,Arizona,NA,0.3566134,NA,NA,NA,NA
1919,AZ,3,Arizona,NA,0.34770924,NA,NA,NA,NA
1920,AZ,3,Arizona,NA,0.27245367,NA,NA,NA,NA
1921,AZ,3,Arizona,NA,0.23143005,NA,NA,NA,NA
1922,AZ,3,Arizona,NA,0.32783443,NA,NA,NA,NA
1923,AZ,3,Arizona,NA,0.31679174,NA,NA,NA,NA
1924,AZ,3,Arizona,NA,0.34279189,NA,NA,NA,NA
1925,AZ,3,Arizona,NA,0.38364783,NA,NA,NA,NA
1926,AZ,3,Arizona,NA,0.39649865,NA,NA,NA,NA
1927,AZ,3,Arizona,NA,0.421606,NA,NA,NA,NA
1928,AZ,3,Arizona,NA,0.48288289,NA,NA,NA,NA
1929,AZ,3,Arizona,NA,0.44604111,NA,NA,NA,NA
1930,AZ,3,Arizona,NA,0.40263537,NA,NA,NA,NA
1931,AZ,3,Arizona,NA,0.37881747,NA,NA,NA,NA
1932,AZ,3,Arizona,NA,0.33884633,NA,NA,NA,NA
1933,AZ,3,Arizona,NA,0.34632331,NA,NA,NA,NA
1934,AZ,3,Arizona,NA,0.35041958,NA,NA,NA,NA
1935,AZ,3,Arizona,NA,0.3592113,NA,NA,NA,NA
1936,AZ,3,Arizona,NA,0.38148803,NA,NA,571.771,NA
1937,AZ,3,Arizona,NA,0.36296043,NA,NA,616.37,NA
1938,AZ,3,Arizona,NA,0.41324186,NA,NA,634.328,NA
